"unload","dur","expose","mass","trab","stren","resorp","form"
0,28,-1.02304950869809,-0.173642646781764,-1.45781866757102,-0.391695476241108,NA,NA
60,28,1.5810765134425,0.45785289820826,0.00207037839083284,-0.526243861889714,NA,NA
60,28,1.5810765134425,0.77326355284114,0.5170774519236,0.46430993716483,NA,NA
60,28,1.5810765134425,-0.762266462731429,-0.482153400926995,0.379668808394296,NA,NA
0,28,-1.02304950869809,0.481270844698815,-1.09923494562361,0.752169816789516,NA,NA
30,28,0.279013502372206,-1.45334831147879,-2.03132135430274,0.730527991345524,NA,NA
30,28,0.279013502372206,-0.495309778315838,0.842173219424079,1.33022097535294,NA,NA
0,28,-1.02304950869809,0.682687544179162,0.901559871514919,0.549533852857315,NA,NA
0,28,-1.02304950869809,0.633391141527382,1.20763722481846,0.977585434800937,NA,NA
30,28,0.279013502372206,-0.656882090002722,-0.879466574868381,0.706118541481031,NA,NA
60,28,1.5810765134425,-0.601730942619646,0.701072854880839,1.24775092449028,NA,NA
30,28,0.279013502372206,-0.77737534942781,-1.37573635380543,0.687019443981087,NA,NA
0,28,-1.02304950869809,0.0773006852817717,0.549339852003566,0.982708890530879,NA,NA
80,28,2.4491185208227,-0.36920253666155,0.0852631967082562,-0.520238509775572,0.321624244969701,-0.59200798126072
80,28,2.4491185208227,-0.435654006070533,0.415096267845978,-0.225291486768955,NA,NA
30,28,0.279013502372206,-1.39665887969383,-1.247017762699,-0.376484785320595,NA,NA
30,28,0.279013502372206,1.49567170813796,1.94448172305922,0.0539942867821669,-0.385871875943485,-1.13929616408917
60,28,1.5810765134425,-0.131348281888318,0.22157873110654,-0.0981288899018346,0.57801045392448,-1.37276606745738
60,28,1.5810765134425,-0.165230729026809,-1.40557700478057,0.0863587741520608,-0.158694222439251,-0.798750107370054
30,28,0.279013502372206,0.0567060125370872,-0.538277180230105,-0.596612153934468,-0.914871269103344,0.53838695216537
80,28,2.4491185208227,-0.96714893062964,-1.22541204999621,0.0462149180018351,-0.223602123440461,-1.22260357744076
0,28,-1.02304950869809,0.430092120733546,0.254193318751897,0.726705162323615,0.999911810432342,1.34583496168421
60,28,1.5810765134425,1.62181791788695,1.67966181662039,-0.0245625921570274,0.389777541020971,-0.953198083826488
0,28,-1.02304950869809,-0.0190659700210558,-0.840727734448242,0.161514623417512,NA,NA
0,28,-1.02304950869809,2.10445589939987,1.30294183852846,1.21659040056405,0.993421020332222,-0.0274479978851678
60,28,1.5810765134425,-0.131919243203073,-0.0671782463416155,0.639906514100726,NA,NA
0,28,-1.02304950869809,0.0236332243461847,-0.307722957647401,1.38392876177165,0.620200589575266,-0.683278009676844
80,28,2.4491185208227,-1.35345158144328,-0.722089464083005,-1.39839480389551,-0.197638963039977,-0.339812055861077
30,28,0.279013502372206,-0.216306178582567,-0.460756647897626,1.11145493039864,0.827905872779137,-1.06424494802683
30,28,0.279013502372206,0.950516744973793,1.79844097736984,0.30038345835604,NA,NA
60,28,1.5810765134425,-1.09662300425517,-1.48112595047374,-0.668980783409421,NA,NA
0,28,-1.02304950869809,-0.104664296518034,0.372312150213396,0.863897878309948,0.44819465192206,1.99976725481199
60,28,1.5810765134425,0.602535827411425,0.412230771623597,-0.491004405763942,-1.03495088595558,0.152357511317116
80,28,2.4491185208227,-1.03343117089376,-0.892522741034807,-0.122762104673215,NA,NA
30,28,0.279013502372206,-0.569301681535369,-0.585554412831264,1.44051757085322,NA,NA
60,28,1.5810765134425,1.01337012004549,0.824095098160806,1.39132845994754,-1.15178510775776,-1.22486626797404
80,28,2.4491185208227,-0.140195529510343,0.207752483624626,0.547877990042964,NA,NA
80,28,2.4491185208227,0.11178769143219,1.13638827658968,0.718867966874921,NA,NA
0,28,-1.02304950869809,1.80788682481372,1.58580170255225,0.124363539804312,NA,NA
30,28,0.279013502372206,-0.580370741195233,-0.635051498580593,0.995316548972534,1.5451381788425,-0.215516748319202
60,28,1.5810765134425,-0.790431861455574,-0.365724998108457,0.635160423766133,NA,NA
80,28,2.4491185208227,-1.2321202275466,-1.2633232841933,-0.541747101149979,NA,NA
80,28,2.4491185208227,-0.624044902140754,-0.922048199368998,1.00325396682983,0.652654540075871,-1.19945611952431
0,28,-1.02304950869809,2.19846717608644,1.4496493544505,1.12609178757792,-1.24265616915945,-0.271413451922039
