Sample Name	Protocol REF	Parameter Value[Scanner]	Parameter Value[Volume Of Interest]	Parameter Value[Volume Of Interest Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Voxel Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Kilovolt Peak]	Unit	Term Source REF	Term Accession Number	Parameter Value[XRay Intensity Current]	Unit	Term Source REF	Term Accession Number	Parameter Value[Integration Time Exposure]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Image Filtration Algorithm]	Parameter Value[Threshold Approach]	Parameter Value[Threshold Value]	Assay Name	Raw Data File	Parameter Value[Submitted Results File]	Protocol REF	Parameter Value[Transformed Reusable Files]
479665_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
479670_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
479673_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
485916_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
485921_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
485925_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
492517_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
495119_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
495123_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
495126_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
495127_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
501574_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
491045_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
491053_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
495105_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
495112_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
502997_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
502998_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
502999_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
511694_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
519287_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
519288_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
519289_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
495102_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
495106_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
495107_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
495110_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
495115_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
511691_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
511692_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
519286_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
519290_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
519291_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
519292_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
519293_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
491047_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
491051_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
