Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Comment[Animal Source]	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Tissue]	Term Source REF	Term Accession Number	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[Diet]	Comment[Feeding Schedule]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[habitat]	Parameter Value[Housing Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Ovariectomy]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Euthanasia Timing]	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number
GC5	GC5_RAT15A_Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	femur	MESH	http://purl.bioontology.org/ontology/MESH/D005269	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	femur	MA	http://purl.obolibrary.org/obo/MA_0001359	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	animal enclosure module	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	GLDS	https://genelab-data.ndc.nasa.gov/	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC6	GC6_RAT15B_Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	femur	MESH	http://purl.bioontology.org/ontology/MESH/D005269	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	femur	MA	http://purl.obolibrary.org/obo/MA_0001359	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	animal enclosure module	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	GLDS	https://genelab-data.ndc.nasa.gov/	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC7	GC7_RAT16A_Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	femur	MESH	http://purl.bioontology.org/ontology/MESH/D005269	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	femur	MA	http://purl.obolibrary.org/obo/MA_0001359	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	animal enclosure module	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	GLDS	https://genelab-data.ndc.nasa.gov/	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC8	GC8_RAT16B_Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	femur	MESH	http://purl.bioontology.org/ontology/MESH/D005269	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	femur	MA	http://purl.obolibrary.org/obo/MA_0001359	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	animal enclosure module	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	GLDS	https://genelab-data.ndc.nasa.gov/	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC9	GC9_RAT17A_Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	femur	MESH	http://purl.bioontology.org/ontology/MESH/D005269	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	femur	MA	http://purl.obolibrary.org/obo/MA_0001359	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	animal enclosure module	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	GLDS	https://genelab-data.ndc.nasa.gov/	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC10	GC10_RAT17B_Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	femur	MESH	http://purl.bioontology.org/ontology/MESH/D005269	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	femur	MA	http://purl.obolibrary.org/obo/MA_0001359	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	animal enclosure module	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	GLDS	https://genelab-data.ndc.nasa.gov/	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC11	GC11_RAT18A_Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	femur	MESH	http://purl.bioontology.org/ontology/MESH/D005269	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	femur	MA	http://purl.obolibrary.org/obo/MA_0001359	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	animal enclosure module	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	GLDS	https://genelab-data.ndc.nasa.gov/	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC12	GC12_RAT18B_Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	femur	MESH	http://purl.bioontology.org/ontology/MESH/D005269	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	femur	MA	http://purl.obolibrary.org/obo/MA_0001359	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	animal enclosure module	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	GLDS	https://genelab-data.ndc.nasa.gov/	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
F1	FLT1_RAT1A_Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	femur	MESH	http://purl.bioontology.org/ontology/MESH/D005269	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	femur	MA	http://purl.obolibrary.org/obo/MA_0001359	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	animal enclosure module	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	GLDS	https://genelab-data.ndc.nasa.gov/	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
F2	FLT2_RAT1B_Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	femur	MESH	http://purl.bioontology.org/ontology/MESH/D005269	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	femur	MA	http://purl.obolibrary.org/obo/MA_0001359	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	animal enclosure module	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	GLDS	https://genelab-data.ndc.nasa.gov/	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
