Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Comment[Animal Source]	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[diet]	Comment[Feeding Schedule]	Protocol REF	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[habitat]	Term Source REF	Term Accession Number	Parameter Value[Housing Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Ovariectomy]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Euthanasia Timing]	Parameter Value[Preservation Method]	Term Source REF	Term Accession Number
F12_112	FLT12_RAT6B_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC2_114	GC2_RAT13B_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	OSD	https://osdr.nasa.gov/	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC3_116	GC3_RAT14A_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	OSD	https://osdr.nasa.gov/	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC4_118	GC4_RAT14B_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	OSD	https://osdr.nasa.gov/	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC5_119	GC5_RAT15A_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	OSD	https://osdr.nasa.gov/	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC6_121	GC6_RAT15B_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	OSD	https://osdr.nasa.gov/	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC7_123	GC7_RAT16A_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	OSD	https://osdr.nasa.gov/	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC8_124	GC8_RAT16B_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	OSD	https://osdr.nasa.gov/	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC9_125	GC9_RAT17A_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	OSD	https://osdr.nasa.gov/	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC10_126	GC10_RAT17B_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	OSD	https://osdr.nasa.gov/	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC11_128	GC11_RAT18A_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	OSD	https://osdr.nasa.gov/	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC12_136	GC12_RAT18B_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	OSD	https://osdr.nasa.gov/	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
