Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Comment[Animal Source]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[diet]	Comment[Feeding Schedule]	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[habitat]	Parameter Value[light cycle]	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Carcass Preservation Method]	Parameter Value[Carcass Weight]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[vehicle]	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation]	Term Source REF	Term Accession Number	Parameter Value[exposure duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose rate]	Unit	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation categorized by source]	Term Source REF	Term Accession Number
m11	VIV1_m11_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Vivarium Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	Not Available		OSD	https://osdr.nasa.gov/	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
m12	VIV2_m12_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Vivarium Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	Not Available		OSD	https://osdr.nasa.gov/	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
m13	VIV3_m13_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Vivarium Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	20.52	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
m14	VIV4_m14_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Vivarium Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	23.13	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
m15	VIV5_m15_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Vivarium Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	24.77	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
m16	VIV6_m16_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Vivarium Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	20.96	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
m17	VIV7_m17_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Vivarium Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	24.11	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
m18	VIV8_m18_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Vivarium Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	20.40	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
m19	VIV9_m19_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Vivarium Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	19.04	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
m20	VIV10_m20_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Vivarium Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	19.97	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
m21	FLT1_m21_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	Not Available		OSD	https://osdr.nasa.gov/	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	7.752	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.204	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
m22	FLT2_m22_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	Not Available		OSD	https://osdr.nasa.gov/	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	7.752	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.204	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
m23	FLT3_m23_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	19.23	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	7.752	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.204	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
m25	FLT5_m25_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	20.75	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	7.752	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.204	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
m26	FLT6_m26_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	21.72	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	7.752	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.204	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
m27	FLT7_m27_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	19.71	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	7.752	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.204	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
m29	FLT9_m29_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	20.25	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	7.752	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.204	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
m30	FLT10_m30_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	20.66	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	7.752	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.204	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
m31	GC1_m31_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Ground Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	Not Available		OSD	https://osdr.nasa.gov/	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
